c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id
2024-10-04 00:00:00.0,UCG 261218C00000130000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,13.0,0.0,0.0,0.0,25.8528,0,0,0.432896,0.999955,-1.0,1.6e-05,-0.000548,0.000177,0.068245,0.001,0.001,38.82,-66.51,
2024-10-04 00:00:00.0,UCG 261218C00000140000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,14.0,0.0,0.0,0.0,24.8553,0,0,0.430041,0.99978,-1.0,7e-05,-0.000622,0.000559,0.073617,0.001,0.001,38.82,-63.94,
2024-10-04 00:00:00.0,UCG 261218C00000150000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,15.0,0.0,0.0,0.0,23.8578,0,0,0.425372,0.999252,-1.0,0.000216,-0.000723,0.000824,0.078885,0.001,0.001,38.82,-61.36,
2024-10-04 00:00:00.0,UCG 261218C00000160000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,16.0,0.0,0.0,0.0,22.8603,0,0,0.420758,0.998076,-1.0,0.000508,-0.000865,0.002574,0.084908,0.001,0.001,38.82,-58.78,
2024-10-04 00:00:00.0,UCG 261218C00000170000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,17.0,0.0,0.0,0.0,21.8629,0,0,0.417608,0.995918,-1.0,0.000999,-0.001061,0.00655,0.092554,0.001,0.001,38.82,-56.21,
2024-10-04 00:00:00.0,UCG 261218C00000180000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,18.0,0.0,0.0,0.0,20.8654,0,0,0.411656,0.992512,-1.0,0.001715,-0.00131,0.007836,0.097697,0.001,0.001,38.82,-53.63,
2024-10-04 00:00:00.0,UCG 261218C00000190000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,19.0,0.0,0.0,0.0,19.8679,0,0,0.408348,0.986638,-1.0,0.002784,-0.001649,0.015213,0.10767,0.001,0.001,38.82,-51.06,
2024-10-04 00:00:00.0,UCG 261218C00000200000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,20.0,0.0,0.0,0.0,18.8704,0,0,0.403997,0.979515,-1.0,0.004037,-0.002022,0.027135,0.123654,0.001,0.001,38.82,-48.48,
2024-10-04 00:00:00.0,UCG 261218C00000220000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,22.0,0.0,0.0,0.0,16.8755,0,0,0.394715,0.957144,-1.0,0.007212,-0.002876,0.049017,0.151068,0.001,0.001,38.82,-43.33,
2024-10-04 00:00:00.0,UCG 261218C00000240000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,24.0,0.0,0.0,0.0,14.9076,0,0,0.38431,0.926066,-1.0,0.010755,-0.003707,0.075395,0.184307,0.001,0.001,38.82,-38.18,
